"","ensembl_gene_id","hgnc_symbol","chromosome_name","Most_Likely_Path","Max_PP"
"30445","ENSG00000117318","ID3","1","Down-Up-Down","1"
"5742","ENSG00000168386","FILIP1L","3","Up-Down-Up","1"
"45063","ENSG00000169359","SLC33A1","3","Down-Up-Down","1"
"12739","ENSG00000118564","FBXL5","4","Down-Up-Down","1"
"43463","ENSG00000182158","CREB3L2","7","Down-Up-Down","1"
"14554","ENSG00000167996","FTH1","11","Up-Up-Down","1"
"46288","ENSG00000171223","JUNB","19","Up-Up-Down","1"
"36347","ENSG00000269688","","19","Up-Down-Up","1"
"1527","ENSG00000001630","CYP51A1","7","Up-Up-Down","0.9999"
"37316","ENSG00000161847","RAVER1","19","Up-Up-Down","0.9999"
"30743","ENSG00000204767","INSYN2B","5","Down-Up-Down","0.9996"
"38953","ENSG00000182095","TNRC18","7","Up-Up-Down","0.9994"
"8212","ENSG00000149428","HYOU1","11","Down-Up-Down","0.9994"
"59611","ENSG00000129932","DOHH","19","Up-Up-Down","0.9993"
"8117","ENSG00000184281","TSSC4","11","Up-Up-Down","0.9989"
"8038","ENSG00000108448","TRIM16L","17","Down-Up-Down","0.9989"
"45306","ENSG00000130669","PAK4","19","Up-Up-Down","0.9989"
"45647","ENSG00000262814","MRPL12","17","Up-Up-Down","0.9977"
"6538","ENSG00000125968","ID1","20","Down-Up-Down","0.9963"
"42504","ENSG00000185347","TEDC1","14","Up-Up-Down","0.9959"
"12305","ENSG00000172766","NAA16","13","Up-Down-Up","0.9946"
"11304","ENSG00000128590","DNAJB9","7","Down-Up-Down","0.9934"
"31892","ENSG00000168282","MGAT2","14","Up-Up-Down","0.9929"
"35661","ENSG00000001084","GCLC","6","Down-Up-Down","0.9921"
"14140","ENSG00000140691","ARMC5","16","Up-Up-Down","0.9915"
"4511","ENSG00000237719","","6","Up-Down-Up","0.9898"
"16002","ENSG00000243449","C4orf48","4","Up-Up-Down","0.9893"
"43892","ENSG00000173581","CCDC106","19","Up-Up-Down","0.989"
"49448","ENSG00000236255","","2","Up-Down-Up","0.9884"
"41543","ENSG00000150961","SEC24D","4","Down-Up-Down","0.9878"
"45005","ENSG00000141933","TPGS1","19","Up-Up-Down","0.984"
"19169","ENSG00000185507","IRF7","11","Up-Up-Down","0.982"
"19540","ENSG00000168874","ATOH8","2","Down-Up-Down","0.9808"
